bees,plants,repeat,total_trips,total_pollen_collected,avg_distance_per_bee,avg_trips_per_bee,total_plant_visits,plants_visited,visitation_rate,avg_pollen_level,pollen_per_distance,pollen_per_bee_per_step
20,10,0,12,475.0,2062.6147291096536,0.6,14,7,0.7,0.525,0.011514511006256561,0.02375
20,10,1,21,810.0,2093.539647618467,1.05,24,10,1.0,0.19,0.019345227135330968,0.0405
40,10,0,19,735.0,2201.3319762832234,0.475,22,8,0.8,0.265,0.008347218955600122,0.018375
40,10,1,13,570.0,2163.174134473379,0.325,17,7,0.7,0.43,0.006587541785427801,0.01425
80,10,0,19,835.0,2221.7317551539577,0.2375,25,9,0.9,0.16499999999999998,0.00469791187697937,0.0104375
80,10,1,26,970.0,2151.732337627069,0.325,29,10,1.0,0.03,0.00563499455205077,0.012125
160,10,0,22,935.0,2462.6458148573283,0.1375,28,10,1.0,0.065,0.002372955934119399,0.00584375
160,10,1,13,770.0,2409.8978465046,0.08125,23,8,0.8,0.22999999999999998,0.001996972613167076,0.0048125
20,25,0,25,975.0,1920.254763069425,1.25,29,11,0.44,0.61,0.025387256387832475,0.04875
20,25,1,29,1115.0,1954.3672844554646,1.45,33,15,0.6,0.554,0.028525856139437648,0.05575
40,25,0,40,1555.0,1997.881111855281,1.0,46,20,0.8,0.37800000000000006,0.019458114784367587,0.038875
40,25,1,41,1815.0,1983.5984116042534,1.025,54,21,0.84,0.27399999999999997,0.0228750939376396,0.045375
80,25,0,61,2305.0,2040.8011439009333,0.7625,69,24,0.96,0.078,0.01411823003241057,0.0288125
80,25,1,40,1750.0,2278.2956448541413,0.5,52,20,0.8,0.3,0.009601475580839491,0.021875
160,25,0,57,2210.0,2161.256123887976,0.35625,66,25,1.0,0.11600000000000002,0.006390959334866848,0.0138125
160,25,1,57,2375.0,2266.8123669174556,0.35625,71,25,1.0,0.05,0.006548292314191581,0.01484375
20,50,0,24,975.0,1926.6570006938728,1.2,29,12,0.24,0.805,0.02530289510921924,0.04875
20,50,1,48,1990.0,1683.1121047902604,2.4,59,24,0.48,0.602,0.05911668017645153,0.0995
40,50,0,60,2385.0,1907.8301441075844,1.5,71,27,0.54,0.523,0.03125278221656911,0.059625
40,50,1,38,1575.0,1926.703372901343,0.95,47,18,0.36,0.685,0.02043646186216346,0.039375
80,50,0,49,2125.0,2232.1427179709826,0.6125,63,27,0.54,0.575,0.011900000741953144,0.0265625
80,50,1,91,3540.0,2075.1839741905374,1.1375,106,38,0.76,0.29200000000000004,0.02132341062303187,0.04425
160,50,0,86,3515.0,2124.1336652114596,0.5375,105,39,0.78,0.29700000000000004,0.010342451776834388,0.02196875
160,50,1,115,4505.0,2035.8083205887149,0.71875,135,46,0.92,0.09899999999999999,0.013830501484470688,0.02815625
20,100,0,66,2520.0,1656.9160642451177,3.3,75,29,0.29,0.7480000000000001,0.07604489009369642,0.126
20,100,1,55,1985.0,1672.1465482844349,2.75,59,27,0.27,0.8015000000000001,0.059354845483984106,0.09925
40,100,0,90,3390.0,1678.9970317857928,2.25,101,39,0.39,0.6609999999999999,0.05047656332653507,0.08475
40,100,1,70,2900.0,1926.4650838269117,1.75,86,38,0.38,0.71,0.03763369531514123,0.0725
80,100,0,150,6210.0,1722.1256823913343,1.875,185,70,0.7,0.3789999999999999,0.04507510734768809,0.077625
80,100,1,140,5470.0,1746.7089972964561,1.75,163,63,0.63,0.45299999999999996,0.039145043682622775,0.068375
160,100,0,171,7175.0,1850.4079331274909,1.06875,214,79,0.79,0.2825,0.024234521046506086,0.04484375
160,100,1,177,6880.0,1958.0024826252752,1.10625,206,74,0.74,0.31200000000000006,0.021961157037117703,0.043
