bees,plants,repeat,total_trips,total_pollen_collected,avg_distance_per_bee,avg_trips_per_bee,total_plant_visits,plants_visited,visitation_rate,avg_pollen_level,pollen_per_distance,pollen_per_bee_per_step
20,10,0,10,440.0,2108.5866023294266,0.5,15,6,0.6,0.5599999999999999,0.010433529254001643,0.022
20,10,1,10,595.0,2171.901443670681,0.5,20,9,0.9,0.40499999999999997,0.013697674950535602,0.02975
20,10,2,6,275.0,2424.6098461827305,0.3,8,6,0.6,0.725,0.0056710154920998086,0.01375
20,10,3,12,550.0,1986.73254895781,0.6,19,7,0.7,0.45,0.013841822853521885,0.0275
20,10,4,5,345.0,2728.944637755669,0.25,11,6,0.6,0.655,0.0063211249364833934,0.01725
20,10,5,4,240.0,2683.1357127778024,0.2,7,4,0.4,0.76,0.004472379068584874,0.012
20,10,6,8,470.0,2307.902864917655,0.4,14,6,0.6,0.53,0.010182404275856935,0.0235
20,10,7,10,600.0,2117.613981261964,0.5,18,6,0.6,0.4,0.014166887952884547,0.03
20,10,8,13,695.0,2079.024914761607,0.65,23,9,0.9,0.305,0.01671456640719702,0.03475
20,10,9,14,645.0,2173.141641556249,0.7,20,9,0.9,0.355,0.014840265992466488,0.03225
30,10,0,16,690.0,2251.5959706516464,0.5333333333333333,23,9,0.9,0.30999999999999994,0.010214976532109997,0.023
30,10,1,5,340.0,2174.5200690136185,0.16666666666666666,10,6,0.6,0.6599999999999999,0.005211878011534855,0.011333333333333334
30,10,2,15,800.0,2657.243709863951,0.5,25,8,0.8,0.2,0.010035461394706614,0.02666666666666667
30,10,3,9,375.0,2176.253908163571,0.3,11,5,0.5,0.625,0.005743815072823055,0.0125
30,10,4,13,680.0,2108.606958999074,0.43333333333333335,22,8,0.8,0.31999999999999995,0.010749593028672453,0.02266666666666667
30,10,5,16,795.0,2133.297387167355,0.5333333333333333,28,10,1.0,0.205,0.012422084309205177,0.0265
30,10,6,13,635.0,2023.5955167942604,0.43333333333333335,21,7,0.7,0.365,0.010459929610932563,0.021166666666666667
30,10,7,17,815.0,2250.8093947081256,0.5666666666666667,27,10,1.0,0.185,0.012069732217458384,0.027166666666666665
30,10,8,7,480.0,2382.350629944891,0.23333333333333334,15,7,0.7,0.5199999999999999,0.006716055898274771,0.016
30,10,9,2,205.0,2409.295859669665,0.06666666666666667,7,3,0.3,0.795,0.0028362366979164783,0.006833333333333334
40,10,0,12,505.0,2204.223338190078,0.3,18,6,0.6,0.495,0.0057276410158902434,0.012625
40,10,1,5,450.0,2234.4133832233383,0.125,15,7,0.7,0.55,0.005034878543276036,0.01125
40,10,2,8,590.0,2276.911584714543,0.2,18,9,0.9,0.41,0.006478073237019965,0.01475
40,10,3,22,910.0,2145.045027406696,0.55,31,10,1.0,0.09,0.010605837970452378,0.02275
40,10,4,14,680.0,2252.828786540492,0.35,23,7,0.7,0.32,0.007546068348188006,0.017
40,10,5,10,580.0,2093.013611522079,0.25,18,7,0.7,0.41999999999999993,0.006927809699935648,0.0145
40,10,6,9,535.0,2078.274043910135,0.225,18,6,0.6,0.465,0.006435628659844986,0.013375
40,10,7,12,770.0,2311.4158558971017,0.3,25,8,0.8,0.22999999999999998,0.008328228756797522,0.01925
40,10,8,17,935.0,2153.3330495878654,0.425,30,10,1.0,0.065,0.010855264588296654,0.023375
40,10,9,8,605.0,2341.276993124446,0.2,18,8,0.8,0.395,0.006460149757767709,0.015125
60,10,0,16,880.0,2360.191895013781,0.26666666666666666,28,10,1.0,0.12,0.006214183981248283,0.014666666666666666
60,10,1,12,635.0,2216.1431180645154,0.2,21,7,0.7,0.365,0.004775564017984707,0.010583333333333333
60,10,2,11,780.0,2219.5784047008074,0.18333333333333332,25,9,0.9,0.22000000000000003,0.005856968139745602,0.013
60,10,3,14,835.0,2256.4834143708354,0.23333333333333334,26,9,0.9,0.16499999999999998,0.006167413674763032,0.013916666666666667
60,10,4,17,845.0,2162.835432881669,0.2833333333333333,27,10,1.0,0.15499999999999997,0.006511514061229015,0.014083333333333333
60,10,5,12,815.0,2397.693226210173,0.2,26,10,1.0,0.185,0.00566516733035249,0.013583333333333333
60,10,6,9,550.0,2146.6823598866,0.15,19,7,0.7,0.45,0.004270155118408343,0.009166666666666667
60,10,7,12,815.0,2361.6291021518364,0.2,26,10,1.0,0.185,0.005751679347513401,0.013583333333333333
60,10,8,20,835.0,2147.639514792171,0.3333333333333333,29,9,0.9,0.16499999999999998,0.006479982590566832,0.013916666666666667
60,10,9,20,935.0,2294.850381201679,0.3333333333333333,29,10,1.0,0.065,0.006790566156724019,0.015583333333333333
