metric_avg_distance_per_bee,metric_avg_pollen_level,metric_avg_trips_per_bee,metric_plant_visitation_rate,metric_plants_visited,metric_pollen_per_bee_per_step,metric_pollen_per_distance,metric_total_plant_visits,metric_total_pollen_collected,metric_total_trips,param_attraction_strength,param_bee_velocity_mean,param_bee_velocity_std,param_dt,param_max_steps,param_num_bees,param_num_hives,param_num_plants,param_simulation_bounds_max,param_simulation_bounds_min,run_name,timestamp
2041.953963939342,0.607,0.7666666666666667,0.44,44,0.03275,0.016038559428058128,139,3930.0,92,0.4,24,1.0,0.05,1000,120,1,100,500,-500,sweep_120bees_100plants_r0,2025-12-12T23:18:21.204374
2227.2331372544677,0.45999999999999996,0.08333333333333333,0.8,8,0.0045,0.0020204440768815043,17,540.0,10,0.4,24,1.0,0.05,1000,120,1,10,500,-500,sweep_120bees_10plants_r0,2025-12-12T23:13:44.741494
2140.445326513971,0.426,0.15,0.8,20,0.011958333333333333,0.005586843627914212,46,1435.0,18,0.4,24,1.0,0.05,1000,120,1,25,500,-500,sweep_120bees_25plants_r0,2025-12-12T23:14:14.354262
2122.349258730498,0.576,0.3416666666666667,0.56,28,0.017666666666666667,0.008324109047553341,76,2120.0,41,0.4,24,1.0,0.05,1000,120,1,50,500,-500,sweep_120bees_50plants_r0,2025-12-12T23:15:10.837821
1977.0952150883595,0.492,0.7083333333333334,0.5866666666666667,44,0.03175,0.016058912973789703,139,3810.0,85,0.4,24,1.0,0.05,1000,120,1,75,500,-500,sweep_120bees_75plants_r0,2025-12-12T23:16:31.919102
1901.7958789172524,0.4765,0.71875,0.61,61,0.03271875,0.017204133399756724,189,5235.0,115,0.4,24,1.0,0.05,1000,160,1,100,500,-500,sweep_160bees_100plants_r0,2025-12-12T23:18:45.650429
2262.093713797725,0.0,0.125,1.0,10,0.00625,0.0027629270891289305,32,1000.0,20,0.4,24,1.0,0.05,1000,160,1,10,500,-500,sweep_160bees_10plants_r0,2025-12-12T23:13:48.197082
2172.8101143727463,0.38,0.15,0.76,19,0.0096875,0.004458512014427279,53,1550.0,24,0.4,24,1.0,0.05,1000,160,1,25,500,-500,sweep_160bees_25plants_r0,2025-12-12T23:14:23.034532
2105.5417727597965,0.34,0.40625,0.74,37,0.020625,0.009795578632935977,117,3300.0,65,0.4,24,1.0,0.05,1000,160,1,50,500,-500,sweep_160bees_50plants_r0,2025-12-12T23:15:24.660245
2119.004111867726,0.5226666666666666,0.4,0.5866666666666667,44,0.022375,0.010559205560143203,127,3580.0,64,0.4,24,1.0,0.05,1000,160,1,75,500,-500,sweep_160bees_75plants_r0,2025-12-12T23:16:53.699609
2050.2754408142564,0.539,0.485,0.55,55,0.02305,0.011242391895815622,167,4610.0,97,0.4,24,1.0,0.05,1000,200,1,100,500,-500,sweep_200bees_100plants_r0,2025-12-12T23:19:20.583127
2415.1489933144417,0.225,0.045,0.9,9,0.003875,0.0016044558785924526,25,775.0,9,0.4,24,1.0,0.05,1000,200,1,10,500,-500,sweep_200bees_10plants_r0,2025-12-12T23:13:53.380232
2352.3915157501624,0.20799999999999996,0.185,0.88,22,0.0099,0.004208483126093471,71,1980.0,37,0.4,24,1.0,0.05,1000,200,1,25,500,-500,sweep_200bees_25plants_r0,2025-12-12T23:14:32.876776
2100.066295401677,0.28700000000000003,0.315,0.78,39,0.017825,0.008487827283848025,128,3565.0,63,0.4,24,1.0,0.05,1000,200,1,50,500,-500,sweep_200bees_50plants_r0,2025-12-12T23:15:41.877557
2084.788935921452,0.3793333333333333,0.47,0.6933333333333334,52,0.023275,0.011164199693775105,167,4655.0,94,0.4,24,1.0,0.05,1000,200,1,75,500,-500,sweep_200bees_75plants_r0,2025-12-12T23:17:18.559848
1796.7669313984934,0.8184999999999999,2.15,0.24,24,0.09075,0.05050738546783347,65,1815.0,43,0.4,24,1.0,0.05,1000,20,1,100,500,-500,sweep_20bees_100plants_r0,2025-12-12T23:17:21.095070
2027.2567899907692,0.45999999999999996,0.55,0.6,6,0.027,0.013318490352730765,17,540.0,11,0.4,24,1.0,0.05,1000,20,1,10,500,-500,sweep_20bees_10plants_r0,2025-12-12T23:13:34.799730
2020.3353792075268,0.622,0.95,0.44,11,0.04725,0.023387206147196082,31,945.0,19,0.4,24,1.0,0.05,1000,20,1,25,500,-500,sweep_20bees_25plants_r0,2025-12-12T23:13:54.325714
1705.2057414954531,0.741,1.6,0.34,17,0.06475,0.03797195753235895,46,1295.0,32,0.4,24,1.0,0.05,1000,20,1,50,500,-500,sweep_20bees_50plants_r0,2025-12-12T23:14:34.336158
1703.093492320321,0.8253333333333334,1.5,0.24,18,0.0655,0.03845942709273217,46,1310.0,30,0.4,24,1.0,0.05,1000,20,1,75,500,-500,sweep_20bees_75plants_r0,2025-12-12T23:15:43.943066
1759.2825548170138,0.8059999999999999,1.5666666666666667,0.25,25,0.06466666666666666,0.03675740800680694,69,1940.0,47,0.4,24,1.0,0.05,1000,30,1,100,500,-500,sweep_30bees_100plants_r0,2025-12-12T23:17:25.619877
2175.4322685083175,0.525,0.26666666666666666,0.7,7,0.015833333333333335,0.007278246977640985,14,475.0,8,0.4,24,1.0,0.05,1000,30,1,10,500,-500,sweep_30bees_10plants_r0,2025-12-12T23:13:35.556706
1988.887295618442,0.67,0.5333333333333333,0.36,9,0.0275,0.013826826718931255,29,825.0,16,0.4,24,1.0,0.05,1000,30,1,25,500,-500,sweep_30bees_25plants_r0,2025-12-12T23:13:55.834024
2112.732469984915,0.747,0.9333333333333333,0.32,16,0.042166666666666665,0.019958355951696875,45,1265.0,28,0.4,24,1.0,0.05,1000,30,1,50,500,-500,sweep_30bees_50plants_r0,2025-12-12T23:14:36.826823
2020.4308305542575,0.8286666666666668,0.9666666666666667,0.22666666666666666,17,0.042833333333333334,0.021200098852967423,45,1285.0,29,0.4,24,1.0,0.05,1000,30,1,75,500,-500,sweep_30bees_75plants_r0,2025-12-12T23:15:47.548375
1706.7942792373244,0.675,1.875,0.41,41,0.08125,0.04760386239184391,116,3250.0,75,0.4,24,1.0,0.05,1000,40,1,100,500,-500,sweep_40bees_100plants_r0,2025-12-12T23:17:30.452351
2323.5096763543797,0.655,0.15,0.6,6,0.008625,0.003712056845630507,10,345.0,6,0.4,24,1.0,0.05,1000,40,1,10,500,-500,sweep_40bees_10plants_r0,2025-12-12T23:13:36.667081
2074.591995365456,0.616,0.425,0.52,13,0.024,0.011568539767633784,33,960.0,17,0.4,24,1.0,0.05,1000,40,1,25,500,-500,sweep_40bees_25plants_r0,2025-12-12T23:13:57.866814
1903.9028104173674,0.602,1.175,0.5,25,0.04975,0.026130535512521234,72,1990.0,47,0.4,24,1.0,0.05,1000,40,1,50,500,-500,sweep_40bees_50plants_r0,2025-12-12T23:14:39.935555
1937.720434619942,0.7726666666666667,0.95,0.30666666666666664,23,0.042625,0.021997497285185172,61,1705.0,38,0.4,24,1.0,0.05,1000,40,1,75,500,-500,sweep_40bees_75plants_r0,2025-12-12T23:15:52.647279
1826.03741531671,0.624,1.5166666666666666,0.42,42,0.06266666666666666,0.03431839136538048,136,3760.0,91,0.4,24,1.0,0.05,1000,60,1,100,500,-500,sweep_60bees_100plants_r0,2025-12-12T23:17:38.935695
2224.1343291468734,0.32,0.18333333333333332,0.8,8,0.011333333333333334,0.005095615487253658,21,680.0,11,0.4,24,1.0,0.05,1000,60,1,10,500,-500,sweep_60bees_10plants_r0,2025-12-12T23:13:38.192781
